file	Arabic.txt	English.txt	Spanish.txt	Urdu.txt
End_date	تاريخ النهاية	End Date	Fecha de finalización	تاریخ اختتام
Successfully_Deleted	تم الحذف بنجاح	Successfully deleted.	Eliminado con éxito.	کامیابی کے ساتھ خارج
Frequency	التكرار	Frequency	Frecuencia	فریکوئنسی
Description_Error	Description is required	Description is required	Description is required	Description is required
Cancel	إلغاء	Cancel	Cancelar	 منسوخ
Courses_Synced_Error	تعذر مزامنة الدورة التدريبية	Failed to sync courses.	Error al sincronizar los cursos.	کورس ہم وقت ساز کرنے میں ناکامی ہے
Removed_From_Collection	تم الحذف من المجموعة بنجاح	Removed successfully from collection.	Quitó con éxito de la colección.	کامیابی سے مجموعہ میں سے ہٹا دیا ہے
Collection_Saved_success	تم حفظ المجموعة بنجاح	Collection saved successfully.	Colección guardada con éxito.	مجموعہ کامیابی سے محفوظ کرلیا ھے
Super_Manager	مدير ممتاز- المدير الأول	Super Manager	Administrador principal	سپر مینیجر
Editor_Phone	رقم هاتف المحرر/المؤلف	Editor Phone	Editor Phone	Editor Phone
Submit	قدم	Submit	Enviar	جمع کرائیں
For_Course	للدورة التدريبية 	for course	para el curso	کورس کے لئے
Pending_Resources	Pending Resources	Pending Resources	Pending Resources	Pending Resources
InValid_CommunityName	اسم المجموعة الذي قمت بإدخاله مكرر. الرجاء المحاولة مرة أخرى باستخدام اسم مختلف	Community 'name' entered is a duplicate. Please try again with a different name.	El nombre de comunidad especificado es un duplicado. Inténtelo de nuevo con un nombre diferente.	برادری میں داخل کردہ نام نقل ہے ۔ براہ مہربانی ایک مختلف نام کے ساتھ کوشش کریں ۔
unCheckAll	إلغاء تحديد الكل	Uncheck All	Desmarcar todas	 تمام کو غیر منتخب کریں
Resource_Added_Success	تمت إضافة المعلومات بنجاح	Resource successfully added.	Recurso agregado con éxito.	ریسورس کا کامیابی سے اضافہ ھو چکا ھے
Nation_Name	الاسم الدولي	Nation Name	Nation Name	قوم کا نام
bells_selection_msg	Please select bells first	Please select bells first	Please select bells first	Please select bells first
directionOfLang	Right	Left	left	Right
Extra_Docs_Deleted	تم حذف المستندات الموزعة للنشرات الإضافية	Extra publication distribution documents have been deleted.	Se eliminaron los documentos de distribución para publicaciones adicionales.	اضافی اشاعتی ڈسٹریبیوشن دستاویزات کو حذف کر دیا گیا ہے
ActivityReports_Replicated_Success	تم نسخ تقرير سجل النشاطات بنجاح	Successfully replicated log activity reports.	Se reprodujeron con éxito los informes de actividad de registro.	کامیابی کے ساتھ لاگ ان سرگرمیوں کی رپورٹیں نقل ہو چکی ہیں
Instructions	تعليمات	Instructions	Instrucciones	ہدایات
Subject_Level	مستوى تخضع	Subject Level	Nivel de tema	موضوع کا لیول
Resources_Synced_Success	تمت مزامنة المجلدات بنجاح	Resources successfully synced.	Recursos sincronizados con éxito.	ریسورسز کامیابی سے مطابقت پذیر ہو گۓ ہیں
Name	اسم	Name	Nombre	نام
Reports	تقارير	Reports	Informes	رپورٹیں
Year_format	YYYY	YYYY	YYYY	سال
Authorized_By	تأليف	Authorized By	Authorized By	Authorized By
Last_App	التطبيق الأخير	Last App	Last App	Last App
Empty_Shelf	لا يوجد ما تبحث عنه في الألبوم	No item in the shelf.	No hay elementos en el estante.	شیلف میں کوئی شے نہیں ہے
Databases	قاعدة البيانات	Databases	Databases	ڈیٹا بیسز
Confirm_Decline	Are you sure you declined this resource?	Are you sure you declined this resource?	Are you sure you declined this resource?	Are you sure you declined this resource?
Missing_Author	اسم المؤلف مفقود	Missing author name.	Falta el nombre del autor.	مصنف کا نام غائب ہے
Login	دخول	Login	Iniciar sesión	لاگ ان
Subject_single	الموضوع	Subject	Asunto	موضوع
Missing_Report_Title	عنوان التقرير مفقود	Report title is missing.	Falta el título del informe.	رپورٹ کا عنوان غائب ہے
member_Delete_success	تم حذف العضو بنجاح	Member deleted successfully.	Miembro eliminado con éxito.	رکن کو کامیابی سے حذف کر دیا ہے
UpdateProfile	الرجاء تحديث الملف الشخصي الخاص بك	Please update your profile.	Actualice su perfil.	براہ مہربانی اپنی پروفائل کو اپ ڈیٹ کریں
Update_Profile_Reminder	الرجاء تصحيح المعلومات التي تم تمييزها في هذا النموذج	Please correct the highlighted information on this form.	Hay información incorrecta en su cuenta. Actualícela.	نمایاں کردہ معلومات فارم پر درست کریں
Actions	إجراءاتت	Actions	Actions	افعال
Add_new_Resource	إضافة مورد جديد	Add New Resource	Agregar recurso nuevo	نئے ریسورس  شامل کریے
End_Time	وقت النهاية	End Time	Hora de finalización	وقت اختتام
Add_Resource	إضافة مادة	Add Resource	Añadir recurso	ریسورس کا ا ضافہ کریں
Role_Selection_Error	Please select roles first	Please select roles first	Please select roles first	Please select roles first
Survey_Note	This is how the survey will appear to users.*	This is how the survey will appear to users.*	This is how the survey will appear to users.*	This is how the survey will appear to users.*
Course_Desc_Missing	وصف الدورة التدريبية مفقود	Course description is missing.	Falta la descripción del curso.	کورس کی تفصیل غائب ہے
Sponsoring_Organization	المنظمة الممولة/الراعية	Sponsoring Organization	Sponsoring Organization	Sponsoring Organization
Become_an_administrator	Become an Administrator	Become an Administrator	Become an Administrator	Become an Administrator
Get_Members_List	Get Members List	Get Members List	Get Members List	Get Members List
Pubs_Replicated_Success	تم نسخ النشرات بنجاح	Successfully replicated publications.	Se reprodujeron con éxito las publicaciones.	کامیابی سے مطبوعات کی نقل ہو چکی ہے
Survey_Download_Error_Msg	غير قادر على تحميل البحث	Unable to download survey	Unable to download survey	سروے ڈاؤن لوڈ نہیں کر سکے
Resources	مصادر - مواد	Resources	Recursos	ريسورسز
Members_Database	قاعدة بيانات الأعضاء	Members Database	Members Database	ارکان کی ڈیٹا بیس
Address	العنوان	Address	Address	Address
Enter_Message	اكتب رسالة من فضلك	Please enter message.	Ingrese el mensaje.	پیغام لکھیں
Update	تحديث	Update	Actualizar	اپ ڈیٹ
Sync_With_Nation	مزامنة مع العنوان/الرابط	Sync With Nation	Sync With Nation	قوم کے ساتھ مطابقت پذیر ہوں
Prompt_Community_First	الرجاء اختيار المجموعة أولاً	Please select community first.	Seleccione primero comunidad.	براہ کرم برادری کو پہلے منتخب کریں
request_rejected	Registration request has been rejected.	Registration request has been rejected.	Registration request has been rejected.	Registration request has been rejected.
Adm_req_rejected	Admission Request Rejected	Admission Request Rejected	Admission Request Rejected	Admission Request Rejected
New_Quiz	اختبار قصير جديد	New Quiz	Prueba nueva	نیاٹیسٹ
Updated_Successfully	تم التحديث بنجاح	Updated successfully.	Actualizado con éxito.	کامیابی سے اپ ڈیٹ ھو گیا ھے
Members	أعضاء	Members	Miembros	اراکین
Notes	ملاحظات	Notes	Notes	نوٹس
member_selection_msg	Please select members first	Please select members first	Please select members first	Please select members first
Create_Apps_Error	فشل في إنشاء التطبيقات	Failed to create apps.	Error al crear aplicaciones.	 ایپس بنانے میں ناکامی
Survey_Download_Error_Ques	غير قادر على تحميل أسئلة البحث	Unable to download survey questions	Unable to download survey questions	سروے سوالات ڈاؤن لوڈ نہیں کر سکے
Remaining	المتبقية	Remaining	Restantes	باقی
Enter_Recipient	الرجاء إدخال المستلم	Please enter recipient.	Ingrese el destinatario.	وصول کنندہ درج کریں
Rating	تصنيف	Rating	Calificación	درجہ بندی
Survey_Number	رقم البحث	Survey No	Survey No	سروے نمبر
Lowest_Rated	أدنى تصنيفها	Lowest Rated	La nota más baja	سب سے کم درجہ بندی
Select_All	اختر الكل	Select All	Seleccionar todos	تمام منتخب کریں
Collection_Name	اسم المجموعة	Collection Name	Nombre de la colección	مجموعہ کا نام
Pubs_Issue_Missing	حقوق النشر مفقودة	Publication issue is missing.	Falta la publicación.	اشاعت کا ایشو غائب ہے
Application_Feedbacks	تعليقاتك على التطبيق	Application Feedbacks	Application Feedbacks	ایپلی کیشن کے بارے میں رائے
Female	أنثى	Female	Femenino	خاتون
Birth_Date	تاريخ الميلاد	Birth Date	Fecha de nacimiento	تاریخِ پیدائش
Survey_No	رقم البحث	Survey No.	Survey No.	سروے نمبر
title_msg_required	Required field and don't contain numbers	Required field and don't contain numbers	Required field and don't contain numbers	Required field and don't contain numbers
resource_replication_success	Successfully replicated resource	Successfully replicated resource	Successfully replicated resource	Successfully replicated resource
Select_Comm	اختيار مجموعة	Select Community	Select Community	Select Community
Send_Survey	إرسال البحث	Send Survey	Send Survey	سروے بھیجیں
Start_Time	وقت البداية	Start Time	Hora de inicio	وقت آغاز
Question	سؤال	Question	Pregunta	سوال
Invalid_Inputs	إدخال غير صالح	Invalid inputs.	Entradas no válidas.	غلط اِن پٹ
Send	إرسال	Send	Enviar	ارسال کریں
accepted_email_text	Admission request has been accepted from member	Admission request has been accepted from member	Admission request has been accepted from member	Admission request has been accepted from member
Duplicate_Course_In_Pub	الدورة التدريبية موجودة سابقاً في هذه النشرة	This course already exists in this publication.	Este curso ya existe en esta publicación.	یہ کورس اشاعت میں پہلے ہی موجود ہے
Location	موقع	Location	Ubicación	مقام
Reply	الرد	Reply	Reply	جواب دیں
Sent	Sent	Sent	Sent	Sent
subject	مستوى (مستويات)	Subject(s)	Asignatura(s)	مضمون
No_Changes	لم تقم بإجراء أية تغييرات	You have not made any changes.	No ha cambiado nada.	آپ نے کسی چیز کو تبدیل نہیں کیا
Prompt_ReleaseNotes	الرجاء كتابة الملاحظات	Please enter release notes.	Ingrese las notas de la versión.	اجراء کے نوٹس لکھیں
Join_meetUp	الإنضمام إلى الاجتماع	Join Meetup	Únete a MeetUp	اجلاس میں شامل ہوں
Foreground_Color	لون الواجهة	Foreground Color	Color principal	پیش منظر رنگ
column_choices	اختيارات العمود	Column Choices	Column Choices	کالم کے آپشنز
Facts_and_Figures	حقائق وأرقام	Facts and Figures	Datos y cifras	اعداد و شمار
Meetups	اجتماعات	Meetups	MeetUps	اجلاس
Title_Error	Title is required	Title is required	Title is required	Title is required
No_File_Selected	لم يتم تحديد أي مجلد.	No File Selected	No hay ningún archivo seleccionado	کوئی فائل منسلک نہیں ہے
Back_To_Course	العودة إلى الدورة التدريبية	Back to Courses	Regresar al curso	کورسز پر جایئے
offline_Status_warning	Your status is offline, so we are unable to fetch list of nations for you	Your status is offline, so we are unable to fetch list of nations for you	Your status is offline, so we are unable to fetch list of nations for you	Your status is offline, so we are unable to fetch list of nations for you
Invalid_Range	المساحة المحددة لا تكفي	Invalid range specified.	Rango especificado no válido.	رینج درست نہیں ہے
UnAuthorized_Community	غير مسموح تحديث هذا القسم بدون موافقة أعضاء المجموعة	The community is not authorized to update until it is properly configured with a nation.	La comunidad no puede actualizar hasta que se configuré con éxito la nación.	برادری کو اپ ڈیٹ کرنے کی اجازت نہیں ہے جب تک اس کو قوم کے ساتھ صحیح طرح ترتیب نہیں دی جاتی
Upload	تحميل	Upload	Subir	اپ لوڈ
Add_new_Question	إضافة سؤال جديد	Add a New Question	Add a New Question	ایک نئے سوال کا ا ضافہ کریں
Total_Resource	مجموع المجلدات	Total Resource	Total Resource	Total Resource
Start_date	تبدأ بتاريخ	Start Date	Fecha de inicio	تاریخ آغاز
Duplicate_CommunityName_Error	إن هذه المجموعة مكررة في قاعدة البيانات. الرجاء حذف النسخ الأخرى و المحاولة مجدداً	Community has duplicates in the database. Please delete other copies and retry.	La comunidad tiene duplicados en la base de datos. Elimine otras copias y vuelva a intentarlo.	برادری کی نقول ڈیٹا بیس میں موجود ہیں ۔ براہ مہربانی دیگر نقول حذف کریں اور پھر کوشش کریں ۔
Question_Text	نص السؤال	 Question Text	 Question Text	سوال کا متن
survey_success_msg	Survey has been sent successfully	Survey has been sent successfully	Survey has been sent successfully	Survey has been sent successfully
No_data_found	لا يوجد أي سجل	No such record exists	No such record exists	اس کا ریکارڈ موجود نہیں ہے
Resource	مورد	????	Resource	ریسورس
Nation_InVisible	Nation is not visible	Nation is not visible	Nation is not visible	Nation is not visible
Month	الشهر	Month	Month	ماہ
select_nation	Select Nation	Select Nation	Select Nation	Select Nation
request_Rejected_already	you have rejected this invitation	you have rejected this invitation	you have rejected this invitation	you have rejected this invitation
Prompt_Reource_first	الرجاء اختيار مجلد أولاً	Please select resources first.	Seleccione primero los recursos.	پہلےریسورس منتخب کریں
Fetch_Resources_Error	تعذر الحصول على المجلدات - المعلومات	Unable to get resources.	No se pueden obtener los recursos.	ریسورسیز حاصل کرنے میں ناکام ہیں
No_Activity_Logged	لن يتم أي تحديث في هذه الفترة	No activity logged for this period.	No registra actividades en este período.	اس مدت کے لئے کوئی سرگرمی لاگ نہیں ہے
Add_Event	إضافة موضوع	Add Event	Add Event	تقریب شامل کریں
Request_Course_Title	:أود الالتحاق بدوره دراسية عن الموضوع التالي	I would like to enroll in a course on the following subject.	Quiero matricularme en un curso con el siguiente tema:	میں مندرجہ ذیل موضوع پر ایک کورس میں اندراج کرنے کے لئے چاہوں گا
invite_rejected	لقد قمت برفض هذه الدعوة	You have rejected this invitation.	You have rejected this invitation.	آپ نے اس دعوت کو مسترد کردیا ہے ۔
Resources_Synced_Error	تعذرت مزامنة المجلدات	Failed to sync resources.	Error al sincronizar los recursos.	ریسورسز ہم وقت ساز کرنے میں ناکامی ہے
Last_Name	اسم العائلة	Last Name	Apellido	آخری نام
Missing_Resource_Title	عنوان المصدر غير موجود	Resource title is missing	No está el título del recurso.	ریسورس کا عنوان خالی ہے ۔
Date_format	DD	DD	DD	دن
Prompt_Version_Number	الرجاء إدخال رقم الإصدار	Please enter version no.	Ingrese el número de la versión.	ورژن نمبر لکھیں
Edit_Question	تعديل السؤال	Edit Question	Edit Question	Edit Question
Member_Resources_Count	مجموع زيارات الأعضاء و مجموع المجلدات التي تم عرضها تحتوي على معلومات عن الشهر الحالي فقط	*The Total Member Visits and Total Resource Views columns contain data of the current month only	*The Total Member Visits and Total Resource Views columns contain data of the current month only	*The Total Member Visits and Total Resource Views columns contain data of the current month only
Attachment	الملفات المرافقة	Attachment	Archivo adjunto	منسلکہ
Reject	رفض	Reject	Rechazar	رد کریں
Recurring	المتكررة	Recurring	Recurrente	مکرر
Leader	زعيم	Leader	Coordinador	لیڈر
leader_must_resign	Leader cannot directly remove himself, he must resign.	Leader cannot directly remove himself, he must resign.	Leader cannot directly remove himself, he must resign.	Leader cannot directly remove himself, he must resign.
Duplicate_CollectionName	اسم المجموعة موجود سابقاً	Collection name already exists.	Ya existe el nombre de la colección.	مجموعہ کا نام پہلے ہی موجود ھے
Allowed_Errors	الأخطاء المسموح بها	Allowed Errors	Errores permitidos	جائز نقائص
Collection_s	مجموعات	Collections	Colecciones	مجموعے
Prompt_Course_Desc	الرجاء تحديد وصف عن الدورة التدريبية أولاً	Specify course description first.	Especifique primero la descripción del curso.	سب سے پہلے کورس تفصیل کو واضح کریں
Add_To_Level	إضافة إلى مستوى	Add to Level	Añadir al nivel	لیول کا ا ضافہ کریں
Phone	رقم الهاتف	Phone	Teléfono	فون
Logout	تسجيل خروج	Logout	Desconectarse	لاگ آؤٹ
Communities	المجتمعات	Communities	Communities	برادریاں
Bug	خلَل	Bug	Error	قص
Phone_M	رقم الهاتف	Phone M	Phone M	Phone M
No_Data_Error	لم يتم العثور على بيانات في الخادم	No data found on server.	No se encontraron datos en el servidor.	سرور پر اعداد و شمار نہیں ہیں
survey_sent_Success	تم إرسال المجلد/البحث	Survey has been sent	Survey has been sent	Survey has been sent
No_Result	لا توجد نتائج	No result found.	No se encontraron resultados.	کوئی نتیجہ نہیں ملا
Identify_Correct	تحديد الإجابة الصحيحة	Identify the right response.	Identificar la respuesta correcta.	صحیح جواب کی شناخت
Step_Method	أسلوب المرحلة	Step Method	Método del paso	مرحلے کا طریقہ
question_Edit	تم تعديل السؤال بنجاح	Question has been edited successfully	Question has been edited successfully	Question has been edited successfully
Duplicate_Save	تم حفظه سابقاً	Already saved.	Ya se guardó.	پہلے ہی محفوظ ھو چکا ھے
Add_Question	إضافة سؤال	Add Question	Añadir pregunta	سوال شامل کریں
Detailed_View	عرض مفصل	Detailed View	Vista detallada	تفصیلی جائزہ
fill_config_first	Please fill the Configurations form first	Please fill the Configurations form first	Please fill the Configurations form first	Please fill the Configurations form first
Select_Bells	Select Bells	Select Bells	Select Bells	Select Bells
AddToNation	Add to Nation	Add to Nation	Add to Nation	Add to Nation
First_Name	الإسم الأول	First Name	Nombre	نام
Not_Applicable	لا ينطبق	Not Applicable	No es aplicable	ناقابل اطلاق
invite_Accepted	لقد قمت بقبول هذه الدعوة	You have accepted this invitation.	You have accepted this invitation.	آپ نے یہ دعوت قبول کر لی ہے ۔
Trend	اتجاه	Trend	Tendencia	رجحان
Manage	أدار	Manage	Administrar	تصیح
Tech_Support	دعم فني	Tech Support	Tech Support	Tech Support
Outcomes	النتائج	Outcomes	Resultados	نتائج
Middle_Names	اسم الاب	Middle Names	Middle Names	درمیانہ نام
Done	تم	Done	Done	Done
Has_Resign_From	قد استقال من	has resigned from	Has abandonado	سے استعفی دے دیا ہے
old_communities	Old Communities	Old Communities	Old Communities	Old Communities
Open	فتح	Open	Abrir	کھولیں
Set_Configurations	ضبط الإعدادات	Set Configurations	Set Configurations	تشکیلات کو سیٹ کریں
Confirm_Publication	هل أنت متأكد من أنك تريد حذف هذه النشرة؟	Are you sure you want to delete this publication?	¿Desea eliminar esta publicación?	کیا آپ کو یقین ہے کہ آپ اس اشاعت کو حذف کرنا چاہتے ہیں؟
New_Message	رسالة جديدة	New Message	Mensaje nuevo	نیا پیغام
InvalidStepNumber	رقم العملية خطأ	Not a valid step number.	Número de pasos no válidos.	یہ مرحلہ نمبر ٹھیک نہیں ہے ۔
Invalid_Image_File	خطأ. صورة الملف غير صالحة	Error. Not a valid image file. File must be in .jpeg format.	Error: extensión no válida de la imagen. Extensiones válidas son .jpg, .jpeg.	نقص: تصویرکی ایکسٹنشن صحیح نہیں ہے صحیح jpg۔ اورjpeg۔ ہیں
Less_than_15	Less than 15	Less than 15	Less than 15	15 سے کم 
Send_Email	إرسال بريد إلكتروني	Send Email	Enviar correo	ای میل بھیجیں
Event_Deleted_Success	تم حذف الموضوع بنجاح	Event successfully deleted.	¡Evento borrado con éxito!	تقریب کو کامیابی کے ساتھ حذف کر دیا ھے
Method	الأسلوب	Method	Método	طریقہ
Take_Quiz	قم بإجراء الاختبار	Take Quiz	Rendir prueba	ٹیسٹ دیں
uploaded_file	Uploaded File :	Uploaded File :	Uploaded File :	Uploaded File :
UnableToReplicate	غير قادر على نسخ التطبيقات	Unable to replicate apps.	No se pueden reproducir las aplicaciones.	ایپس کی نقل تیار کرنے میں نااہل
Poor_Internet_Error	غير قادر على تحديث تطبيقات بيل. الرجاء التأكد من الإتصال بالإنترنت أو المحاولة لاحقاً	Unable to update Bell-Apps. Please check your internet connection or try again later.	No se pueden actualizar las BeLL-Apps. Revise su conexión a internet o inténtelo más tarde.	بیل ایپس کی اپ ڈیٹ نہیں یو سکی، آپ اپنے انٹرنیٹ کنکشن کی پڑتال کریں یا بعد ازاں دوبارہ کوشش کریں
Request_Sent_Success	تم إرسال الطلب بنجاح	Request successfully sent.	Petición enviada con éxito.	کامیابی سے درخواست بھیج دی ہے
author	كاتب	Author	Autor	مصنف
media	وسائل الإعلام	Media	Medio	میڈیا
registered_past_twelve_months	مجموع الأعضاء المسجلين في الإثني عشر شهر الماضي	Total Registered Members Past 12 Months	Total de miembros registrados en los últimos 12 meses	گذشتہ 12 ماہ کے کل رجسٹرڈ ارکان
Nation	دولة/ دولي	Nation	País	قوم
New_Survey	بحث جديد	New Survey	New Survey	نیا سروے
MeetUp_Title_Missing	عنوان الاجتماع مفقود	Meetup title is missing.	Falta el título del MeetUp.	اجلاس کا عنوان غائب ہے
answer_Choices_Stat	ااختر الإجابة - كل اختيار على سطر منفصل	Answer Choices (each choice on a separate line)	Answer Choices (each choice on a separate line)	جواب کی آپشنز (علیحدہ لائن پر ہر آپشن دیں)
You_Scored	سجل لك	You scored	Calificación	آپ نے سکوربنائے
Resource_Updated	تم تحديث المعلومات بنجاح	Resource updated successfully.	Recurso actualizado con éxito.	ریسورس کامیابی سے اپ ڈیٹ ہو گیا ہے
Resources_Feedbacks	ملاحظاتك عن المجلدات	Resources Feedbacks	Resources Feedbacks	ریسورسز کے بارے میں رائے
Add_Member	إضافة عضو	Add Member	Añadir miembro	رکن کا ا ضافہ کریں
Response_Options	خيارات الاجابة	Response Options	Opciones de respuesta	جواب کی اپشنز
Download	تحميل	Download	Download	ڈاؤن لوڈ
Publications	المنشورات	Publications	Publicaciones	مطبوعات
less_options	الرجاء تزويدنا بإجابة/خيار واحد على الأقل	Please provide atleast one options	Please provide atleast one options	Please provide atleast one options
meetUp_delete_confirm	هل أنت متأكد من أنك تريد حذف هذا الاجتماع؟	Are you sure that you want to delete this meetup?	¿Desea eliminar este encuentro de MeetUp?	کیا آپ کو یقین ہے کہ آپ اس اجلاس کو حذف کرنا چاہتے ہیں؟
Unread	غير مقروء	Unread	Unread	بغیر پڑھے
Reques_t	طلب	Request	Solicitar	درخواست
ID	هوية	ID	ID	ID
View_s	عدد المشاهدات	Views	Vistas	ویوژ
Missing_MeetUp_Location	موقع الاجتماع مفقود	Meetup location is missing.	Falta la ubicación del MeetUp.	اجلاس کا مقام غائب ہے
Rate_Resource_First	الرجاء تقييم المعلومات أولاً	Please rate the resource first.	Califique primero el recurso.	برائے مہربانی پہلے ریسوس کو شرح دیں
Manager	مدير	Manager	Administrador	مینیجر
Back_to_Resources	العودة إلى الموارد- المجلدات	Back to Resources	Regresar a recursos	ریسورسیز پر جایئے
Total	المجموع	Total	Total	کل تعداد
Successfully_Registered	تم التسجيل بنجاح	Successfully registered.	¡Registrado con éxito!	کامیابی کے ساتھ رجسٹرڈ ھو چکا ہے
Surveys	الدراسات الاستقصائية - بحوث	Surveys	Encuestas	سروے
Manifest_Error	تم خلق الملف في تطبيقات بيل	Manifest file is created in BeLL-Apps	Se creó el archivo de manifiesto en BeLL-Apps.	مینیفیسٹ فائل بیل ایپس میں بنائی جا چکی ہے
Decline	Decline	Decline	Decline	Decline
No_Steps	لا يوجد أية خطوات	No Steps	Sin pasos	اس کورس میں مراحل نہیں ہیں
KeyWord_s	الكلمة	Keyword	Palabra clave	مطلوبہ الفاظ
Select_Age_Group	Select Age Group	Select Age Group	Select Age Group	Select Age Group
Compose	إنشاء	Compose	Compose	تحریر کریں
Collections	مجموعات	Collections	Collections	مجموعے
less_labels	العناوين أقل من قيمتها التقديرية	Labels are less than the rating value	Labels are less than the rating value	Labels are less than the rating value
Course_Steps	مراحل الدورة التدريبية	Course Steps	Pasos del curso	کورس کے مرحلے
Course_Full	لقد اكتمل عدد طلاب هذه الدورة التدريبية	This course is full.	Este curso está lleno.	یہ کورس بھر چکا ہے
Bell_Name	Bell Name	Bell Name	Bell Name	Bell Name
Males	الذكور	Males	Hombres	مرد
pls_select_nation	Please select nation	Please select nation	Please select nation	Please select nation
DateFormat_Reports	(YYYY:MM:DD)	(YYYY:MM:DD)	(YYYY:MM:DD)	(دن:ماہ:سال)
MyMeetUps_Removed_Success	تم الحذف من الاجتماعات بنجاح	Successfully removed from My Meetups.	Quitó con éxito de mis encuentros.	میرے اجلاس میں سے حزف کر دیا گیا ھے
CourseTitle_Missing	عنوان الدورة التدريبية مفقود	Course title is missing.	Falta el título del curso.	کورس کاعنوان غائب ہے
Request_Course	طلب درس جديد	Request Course	Solicitar curso	درخواست براےء کورس
Times_Rated	عدد مرات التقييم	Times Rated	Veces de la nota	استعمال کے لحاظ سے درجہ بندی
Success_Saved_Msg	تم الحفظ بنجاح	Successfully saved.	¡Se guardó con éxito!	کامیاب سے محفوظ ہوا ھے!
TryLater_Error	خطأ. الرجاء المحاولة لاحقاً	Error. Try again later.	Error. Intente más adelante.	نقص ( بعد میں کوشش کریں)
Resource_Detail	تفاصيل المورد	Resource Detail	Detalle de recursos	ریسورس کی تفصیل
Reports_Deleted_Success	تم حذف التقرير بنجاح	Successfully deleted report.	Informe eliminado con éxito.	کامیابی سے رپورٹ کو حذف کردیا ہے
Requests	الطلبات	Requests	Requests	درخواستیں
meetUp_Added	تمت الإضافة إلى اجتماعاتك بنجاح	Successfully added to My Meetups.	Añadió con éxito a mis encuentros.	کامیابی سے آپ کے اجلاس میں شامل ھو گیا ہے
question_stat_missing	بيان السؤال مفقود	Question statement is missing	Question statement is missing	Question statement is missing
View_All	مشاهدة الكل	View All	Ver todos	سب دیکھیں
Admission_Req_Received	تم استلام طلب القبول من المستخدم	Admission request received from user	Solicitud de admisión del usuario recibida	صارف کی طرف سے داخلے کی درخواست موصول ہوئی ہے
Topic	الموضوع	Topic	Tema	موضوع
Create_Quiz	خلق اختبار قصير	Create Quiz	Crear prueba	ٹیسٹ بنائیں
Config_Changed_For_Branch	تمت تعديل الإعدادات الخاصة بقسم المكتبة بنجاح	Configurations are successfully changed for branch library.	Se cambió con éxito la configuración para la sucursal de la biblioteca.	تشکیلات کو برانچ لائبریری کے لیے کامیابی سے تبدیل کر دیا ھے
Config_Sync_With_Nation_Head	قم بتحديد العنصر - العناصر - للمزامنة	Select Item('s) To Sync	Select Item('s) To Sync	ہم وقت سازی کے لیے شے/اشیاء منتخب کریں
Badges	شارات	Badges	Distinción de logro	جز
Last_Activities	الأنشطة الأخيرة	Last Activities	Last Activities	Last Activities
Account_DeActivated	تم إلغاء تفعيل الحساب الخاص بك	Your account is deactivated.	Se desactivó tu cuenta.	آپ کا اکاؤنٹ غیر فعال ہے
manager_removes_leader	Only Manager can remove a Leader	Only Manager can remove a Leader	Only Manager can remove a Leader	Only Manager can remove a Leader
Search_Result	نتائج البحث	Search Results	Resultado de búsqueda	 تلاش کے نتائج
publisher_attribution	الناشر/الإسناد	Publisher/Attribution	Editor/Fuente	پبلیشر /  نسبت
Empty_Courses	لم يتم قبول أي دورات تدريبية	No courses accepted.	No tienes cursos aceptados.	کوئی کورس نہیں ہے
Quiz	اختبار قصير	Quiz	Prueba	ٹیسٹ
Max_open_Frequency	مفتوح معظم الأحيان	Most Frequently Opened	Abiertos con más frecuencia	سب سے زیادہپڑھاگیا
Nested_Under	نظمت تحت	Nested Under	Incorporado en	ذیلی حصے
Choose	أختر	choose	Elegir	انتخاب کریں
New	جديد	New	Nuevo	نیا
Pubs_Synced_Error	خطأ في المزامنة أو تكرار النشرة	Error syncing/replicating publication.	No se sincronizaron las publicaciones.	اشاعت کی مطابقت پذیری یا نقل کرنے میں نقص ہے
Email	بريد الالكتروني	Email	Correo electrónico	ای میل
Leader_Email	بريد المديرالإلكتروني	Leader Email	Correo del coordinador del curso	لیڈر کا ای میل
Visits_Count	عدد الزيارات	Visits Count	Conteo de visitas	وزٹز کی تعداد
Request_Resource_Title	:أريد إضافة هذا المجلد في بيل	I would like to have the following resource in BeLL.	Quiero el siguiente recurso en BeLL:	میں بیل ایپس میں درج ذیل ریسورس شامل کرنا چاہوں گا
Invite	يدعو	Invite	Invitar	 مدعو کریں
Event_Created_Success	تم إنشاء الموضوع بنجاح	Event successfully created.	Evento creado con éxito.	تقریب کامیابی کے ساتھ بن چکی ھے
Resource_failure_update	تعذر تحديث النموذج بسبب تكرار العنوان	Cannot update due to identical title.	No se actualizó el modelo porque tiene el mismo título.	ماڈل کو یکساں عنوان کی وجہ سے  اپ ڈیٹ نہیں کر سکتے
Nation_Url	عنوان الرابط	Nation Url	Nation Url	قوم کا Url
Add_a_New_Report	إضافة تقرير جديد	Add a New Report	Agregar un informe nuevo	 ایک نئی رپورٹ شامل کریں
Resource_RemovedFrom_Shelf_Success	تم حذف المعلومات من الألبوم بنجاح	Resource successfully removed from shelf.	Quitó con éxito el recurso del estante.	ریسورس کو کامیابی کے ساتھ شیلف میں سے حزف کر دیا ہے
Hi	مرحباً	Hi	Hola	اسلام و عليکم
